ai-agent-1  | INFO:     172.21.0.2:46874 - "GET /metrics HTTP/1.1" 307 Temporary Redirect
ai-agent-1  | INFO:     172.21.0.2:46874 - "GET /metrics/ HTTP/1.1" 200 OK
ai-agent-1  | INFO:     172.21.0.2:33572 - "GET /metrics HTTP/1.1" 307 Temporary Redirect
ai-agent-1  | INFO:     172.21.0.2:33572 - "GET /metrics/ HTTP/1.1" 200 OK
ai-agent-1  | INFO:     172.21.0.2:43906 - "GET /metrics HTTP/1.1" 307 Temporary Redirect
ai-agent-1  | INFO:     172.21.0.2:43906 - "GET /metrics/ HTTP/1.1" 200 OK
ai-agent-1  | INFO:     172.21.0.2:52382 - "GET /metrics HTTP/1.1" 307 Temporary Redirect
ai-agent-1  | INFO:     172.21.0.2:52382 - "GET /metrics/ HTTP/1.1" 200 OK
ai-agent-1  | INFO:     172.21.0.2:48126 - "GET /metrics HTTP/1.1" 307 Temporary Redirect
ai-agent-1  | INFO:     172.21.0.2:48126 - "GET /metrics/ HTTP/1.1" 200 OK
ai-agent-1  | INFO:     172.21.0.2:33108 - "GET /metrics HTTP/1.1" 307 Temporary Redirect
ai-agent-1  | INFO:     172.21.0.2:33108 - "GET /metrics/ HTTP/1.1" 200 OK
ai-agent-1  | INFO:     172.21.0.2:34690 - "GET /metrics HTTP/1.1" 307 Temporary Redirect
ai-agent-1  | INFO:     172.21.0.2:34690 - "GET /metrics/ HTTP/1.1" 200 OK
ai-agent-1  | INFO:     172.21.0.2:39190 - "GET /metrics HTTP/1.1" 307 Temporary Redirect
ai-agent-1  | INFO:     172.21.0.2:39190 - "GET /metrics/ HTTP/1.1" 200 OK
ai-agent-1  | INFO:     172.21.0.2:56098 - "GET /metrics HTTP/1.1" 307 Temporary Redirect
ai-agent-1  | INFO:     172.21.0.2:56098 - "GET /metrics/ HTTP/1.1" 200 OK
ai-agent-1  | INFO:     172.21.0.2:47994 - "GET /metrics HTTP/1.1" 307 Temporary Redirect
ai-agent-1  | INFO:     172.21.0.2:47994 - "GET /metrics/ HTTP/1.1" 200 OK
